startup_name,sector,subvertical,city,investors,investment_type,amount_usd,date,source_period,year,sector_clean
Housejoy,Edtech,K12,Mumbai,Lightspeed India,Seed,199000.0,2023-04-19,recent_2020_2025,2023,Edtech
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000.0,2025-01-28,recent_2020_2025,2025,Media
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,38052000.0,2021-03-14,recent_2020_2025,2021,Mobility
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000.0,2023-09-11,recent_2020_2025,2023,Consumer Electronics
Udaan,Realestate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000.0,2024-01-31,recent_2020_2025,2024,Real Estate
AeroStack,Edtech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000.0,2021-07-24,recent_2020_2025,2021,Edtech
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,62000.0,2023-01-12,recent_2020_2025,2023,Retail
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000.0,2025-01-22,recent_2020_2025,2025,Consumer Electronics
Rapido,Foodtech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,459000.0,2023-11-27,recent_2020_2025,2023,Foodtech
HyperLoop,Edtech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000.0,2020-05-04,recent_2020_2025,2020,Edtech
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000.0,2020-05-19,recent_2020_2025,2020,Mobility
LogiMart,Fintech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000.0,2023-04-10,recent_2020_2025,2023,Fintech
CoreFlow,Saas,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000.0,2023-10-07,recent_2020_2025,2023,SaaS
Groww,Fintech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000.0,2020-07-23,recent_2020_2025,2020,Fintech
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000.0,2024-12-05,recent_2020_2025,2024,Logistics
